Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
TIKA;2;75fb47bf42a15ed7708e9174ce1113a9914fb2eb;9;0;9;0.5344875115070162;1049;416;559;360;NO;6;54;600;100;99.0;100;YES
TIKA;2;71588810d7cf06b5197869646b86102f57f2f6ae;2;0;2;0.0;206;103;91;176;NO;6;10;594;99;98.0;99;YES
TIKA;2;80866ff406ba6dd79c94def3703b18dfaf8128a6;7;0;7;2.062656348037272;151;0;107;144;NO;6;58;582;97;96.0;97;YES
TIKA;2;1cd1b27955a969faefc7c6f3c2c70987bd3f693a;6;0;6;0.0;596;0;584;230;NO;6;92;576;96;95.0;96;NO
TIKA;2;9398c06ff62b72c6d9b66996a824ca45daf32f74;3;0;3;0.0;539;0;527;447;NO;6;85;570;95;94.0;95;NO
TIKA;2;71aee51283638d20ec62c0f64aa6a615e904cdb9;1;0;1;0.0;2;0;0;447;NO;6;0;552;92;91.0;92;NO
TIKA;2;8e3a5f5605ab0ff6cb5508e3e4544fc5fc71cbee;1;0;1;0.0;9;0;5;200;NO;6;27;546;91;90.0;91;NO
TIKA;2;b2b79ce6926dfe1b8e8ff13de8188f7650ee50c4;1;0;1;0.0;7;7;0;105;NO;6;121;540;90;89.0;90;NO
TIKA;2;4ed2d4be6a683c65f377711fbf83c236889caff1;5;0;5;0.7993973599100458;1193;407;544;458;NO;6;61;534;89;88.0;89;YES
TIKA;2;b0ddfce1f900e94e7f524a82544e0fb98ee61a88;1;0;1;0.0;204;204;0;0;NO;6;0;522;87;86.0;87;YES
TIKA;2;c4d64f89ed6966aebf7e19b301d9e01d23fca847;1;0;1;0.0;9;5;0;75;NO;6;0;516;11;10.0;11;NO
TIKA;2;5030b1138c5626a761b6c03b90b761f4cdadc0a0;1;0;1;0.0;18;10;0;65;NO;6;2;516;10;9.0;10;NO
TIKA;2;4b0936c4308d2e2205c3ed827f1a638b8ab7a0a0;1;0;1;0.0;1;0;1;68;NO;6;0;516;86;85.0;86;NO
TIKA;2;50dd48644facd17ac443feadffc07c4c0c433519;1;0;1;0.0;2;0;0;68;NO;6;0;510;85;84.0;85;NO
TIKA;2;ed76d40afc698586b33a13bb38d34b3ad3c5f5c2;1;0;1;0.0;8;0;8;135;NO;6;0;504;84;83.0;84;NO
