Project;Release;Commit;NS;ND;NF;Entropy;Size;LA;LD;LT;FIX;NDEV;AGE;NUC;EXP;REXP;SEXP;Actual_Defective
QPID;2;5b51f3a92424a72ea12d5419c9cd498b62a796b9;1;1;1;0.0;3;0;1;623;NO;20;32;8480;89;85.0;89;NO
QPID;2;922d73e6b308c7d53d8553148506dea47eae8b6e;1;1;1;0.0;43;33;0;799;NO;20;165;8480;210;209.0;210;YES
QPID;2;a42bb012a9119d98acbcba84e32d0a8fb3c56893;1;1;1;0.0;2;2;0;58;NO;20;322;8480;209;208.0;209;YES
QPID;2;695b38f4988e4277dddf46494bdc361c02c623b1;1;2;3;0.11759466565886476;179;45;8;685;NO;20;39;8400;208;207.0;208;YES
QPID;2;70316b32a0cffd26a4ee4fb763a598bba9546d1e;1;1;1;0.0;2;2;0;97;NO;20;9;8400;207;206.0;207;NO
QPID;2;bbe8a15519d991af717a3bff50d10ea102131fca;1;1;3;1.2516291673878228;26;14;0;113;NO;20;6;8380;88;84.5;88;NO
QPID;2;5d7bf796007d1c412b74d38814257d1e587fafdc;1;1;1;0.0;2;0;0;1166;NO;20;42;8360;206;205.0;206;NO
QPID;2;6ae6f0f91fc08304375faf4485646b61661c44eb;1;5;10;2.7103647472150874;144;3;19;264;NO;20;0;8360;205;204.0;205;NO
QPID;2;1c45b0d67d1d0ffbb3a95f0f4d14607499c249c9;1;4;6;0.0;120;120;0;244;NO;20;0;8360;204;203.0;204;NO
QPID;2;54e90251fbfc7e4944d9927ef580b77a4b01d37c;1;1;1;0.0;20;20;0;201;NO;20;0;8360;203;202.0;203;NO
QPID;2;40237e21d4db07e791424dfe59b4453700edfed2;1;4;9;3.169925001442312;80;60;2;244;NO;20;0;8360;202;201.0;202;NO
QPID;2;df31334b15634d18e7de45f70f59cea50f262942;1;6;11;0.0;1827;1827;0;0;NO;20;0;8360;201;200.0;201;YES
QPID;2;6f4dce11d203ec606650497fa64f1519ecdf43c3;1;1;1;0.0;4;2;0;110;NO;20;31;8200;200;199.0;200;NO
QPID;2;613ceb29988f1c5d44ac41510a0fa4424fb04142;1;1;5;1.0916362019205923;395;201;72;163;NO;20;0;8180;199;198.0;199;NO
QPID;2;ed240c2fd6bceb51fa8ec93ad1088b4734f20ca2;1;1;1;0.0;16;6;0;105;NO;20;1;8140;87;84.0;87;NO
QPID;2;56e4a19b43d12e112984004bc3eb6dfb362ac538;1;1;1;0.0;16;0;4;175;NO;20;1;8120;198;197.0;198;NO
QPID;2;0ce22df53e824db1be3987a966ac56f99c4bb9b6;1;1;1;0.0;7;0;3;1720;NO;20;4;8120;197;196.0;197;NO
